date,ticker,name,group,rs_ratio,rs_momentum,close
2026-04-30,SMH,Semiconductors,thematic,121.7633,115.1033,506.72
2026-05-01,SMH,Semiconductors,thematic,122.1501,113.2848,509.82
2026-05-04,SMH,Semiconductors,thematic,124.9614,119.5546,506.79
2026-05-05,SMH,Semiconductors,thematic,134.2686,128.0988,522.69
2026-05-06,SMH,Semiconductors,thematic,139.2415,133.1285,549.76
2026-05-07,SMH,Semiconductors,thematic,133.055,123.6296,540.1
2026-05-08,SMH,Semiconductors,thematic,137.5558,122.6692,566.54
2026-05-11,SMH,Semiconductors,thematic,141.1576,125.6897,576.31
2026-05-12,SMH,Semiconductors,thematic,134.5045,119.6613,561.25
2026-05-13,SMH,Semiconductors,thematic,138.8876,121.9703,572.46
2026-05-14,SMH,Semiconductors,thematic,140.6948,121.7721,578.34
2026-05-15,SMH,Semiconductors,thematic,136.5873,120.2081,556.34
2026-05-18,SMH,Semiconductors,thematic,132.3225,116.9986,546.16
2026-05-19,SMH,Semiconductors,thematic,133.0387,116.8483,543.96
2025-04-23,TAN,Solar,thematic,93.5856,100.0,28.29
2025-04-24,TAN,Solar,thematic,94.3382,100.0,29.0
2025-04-25,TAN,Solar,thematic,97.3402,100.0,29.88
2025-04-28,TAN,Solar,thematic,96.7754,100.0,29.79
2025-04-29,TAN,Solar,thematic,95.6325,100.0,29.61
2025-04-30,TAN,Solar,thematic,91.5299,100.0,28.38
2025-05-01,TAN,Solar,thematic,93.0109,100.0,28.8
2025-05-02,TAN,Solar,thematic,93.1439,100.0,29.35
2025-05-05,TAN,Solar,thematic,91.8617,100.0,28.85
2025-05-06,TAN,Solar,thematic,93.9913,100.0,29.3
2025-05-07,TAN,Solar,thematic,94.3324,100.0,29.6
2025-05-08,TAN,Solar,thematic,97.1166,100.0,30.73
2025-05-09,TAN,Solar,thematic,100.2369,100.0,31.71
2025-05-12,TAN,Solar,thematic,101.6241,100.0,33.03
2025-05-13,TAN,Solar,thematic,106.5833,100.0,34.72
2025-05-14,TAN,Solar,thematic,108.8967,100.0,35.26
2025-05-15,TAN,Solar,thematic,109.1372,100.0,35.66
2025-05-16,TAN,Solar,thematic,106.5002,100.0,35.14
2025-05-19,TAN,Solar,thematic,103.8749,100.0,34.27
2025-05-20,TAN,Solar,thematic,104.7851,100.0,34.48
2025-05-21,TAN,Solar,thematic,105.5341,100.0,33.97
2025-05-22,TAN,Solar,thematic,97.9866,104.7026,31.44
2025-05-23,TAN,Solar,thematic,99.2875,105.2463,31.73
2025-05-27,TAN,Solar,thematic,98.0848,100.7649,31.93
2025-05-28,TAN,Solar,thematic,98.1514,101.4219,31.68
2025-05-29,TAN,Solar,thematic,98.685,103.1919,31.93
2025-05-30,TAN,Solar,thematic,100.0227,109.2787,32.35
2025-06-02,TAN,Solar,thematic,98.306,105.693,31.82
2025-06-03,TAN,Solar,thematic,101.3856,108.8484,33.09
2025-06-04,TAN,Solar,thematic,101.706,110.7164,33.12
2025-06-05,TAN,Solar,thematic,102.6282,109.189,33.33
2025-06-06,TAN,Solar,thematic,102.5431,108.704,33.59
2025-06-09,TAN,Solar,thematic,103.1059,106.1671,33.78
2025-06-10,TAN,Solar,thematic,104.235,103.9886,34.32
2025-06-11,TAN,Solar,thematic,105.2019,103.5206,34.54
2025-06-12,TAN,Solar,thematic,104.0138,97.5892,34.23
2025-06-13,TAN,Solar,thematic,107.5626,98.7749,34.97
2025-06-16,TAN,Solar,thematic,107.7844,98.7604,35.38
2025-06-17,TAN,Solar,thematic,98.8635,92.8294,32.14
2025-06-18,TAN,Solar,thematic,99.9288,96.2011,32.49
2025-06-20,TAN,Solar,thematic,98.4146,93.9204,32.05
2025-06-23,TAN,Solar,thematic,97.5838,92.4666,32.06
2025-06-24,TAN,Solar,thematic,100.7391,102.809,33.41
2025-06-25,TAN,Solar,thematic,103.9533,104.6992,33.47
2025-06-26,TAN,Solar,thematic,105.7956,107.8614,34.31
2025-06-27,TAN,Solar,thematic,104.1362,106.0975,34.14
2025-06-30,TAN,Solar,thematic,106.773,108.1958,34.26
2025-07-01,TAN,Solar,thematic,107.4682,107.4438,35.24
2025-07-02,TAN,Solar,thematic,112.6186,114.5592,37.04
2025-07-03,TAN,Solar,thematic,114.2927,112.7308,38.73
2025-07-07,TAN,Solar,thematic,113.7488,111.8408,38.55
2025-07-08,TAN,Solar,thematic,116.0076,113.0368,38.08
2025-07-09,TAN,Solar,thematic,122.2142,119.1832,38.58
2025-07-10,TAN,Solar,thematic,123.202,119.4908,38.92
2025-07-11,TAN,Solar,thematic,122.99,117.993,38.1
2025-07-14,TAN,Solar,thematic,120.7676,114.796,38.3
2025-07-15,TAN,Solar,thematic,120.067,115.4337,38.32
2025-07-16,TAN,Solar,thematic,119.3135,110.9247,37.87
2025-07-17,TAN,Solar,thematic,119.0738,110.474,37.97
2025-07-18,TAN,Solar,thematic,118.6605,120.0246,37.99
2025-07-21,TAN,Solar,thematic,120.1573,120.2429,38.36
2025-07-22,TAN,Solar,thematic,121.683,123.6432,40.12
2025-07-23,TAN,Solar,thematic,121.63,124.6416,39.27
2025-07-24,TAN,Solar,thematic,120.6157,119.7308,39.13
2025-07-25,TAN,Solar,thematic,116.276,111.854,39.11
2025-07-28,TAN,Solar,thematic,116.3567,109.9825,38.68
2025-07-29,TAN,Solar,thematic,117.0122,112.3646,38.42
2025-07-30,TAN,Solar,thematic,120.3008,112.6697,37.56
2025-07-31,TAN,Solar,thematic,117.0573,108.9227,36.8
2025-08-01,TAN,Solar,thematic,117.1306,104.0065,36.46
2025-08-04,TAN,Solar,thematic,118.071,103.3058,36.69
2025-08-05,TAN,Solar,thematic,114.9915,101.0925,36.46
2025-08-06,TAN,Solar,thematic,113.6043,97.9283,36.07
2025-08-07,TAN,Solar,thematic,111.6689,91.3715,36.48
2025-08-08,TAN,Solar,thematic,108.797,88.3078,36.75
2025-08-11,TAN,Solar,thematic,107.1666,87.1344,36.6
2025-08-12,TAN,Solar,thematic,101.6701,84.1866,36.88
2025-08-13,TAN,Solar,thematic,99.0937,82.532,37.25
2025-08-14,TAN,Solar,thematic,97.8395,82.002,36.62
2025-08-15,TAN,Solar,thematic,109.3481,91.8322,39.84
2025-08-18,TAN,Solar,thematic,117.3429,98.8896,41.69
2025-08-19,TAN,Solar,thematic,113.8653,94.7635,41.0
2025-08-20,TAN,Solar,thematic,113.2431,93.064,41.03
2025-08-21,TAN,Solar,thematic,118.1861,97.1685,39.62
2025-08-22,TAN,Solar,thematic,120.9644,100.2891,41.89
2025-08-25,TAN,Solar,thematic,122.7439,105.5625,41.67
2025-08-26,TAN,Solar,thematic,122.9876,105.6987,41.81
2025-08-27,TAN,Solar,thematic,119.4043,102.0443,40.96
2025-08-28,TAN,Solar,thematic,119.3023,99.17,41.46
2025-08-29,TAN,Solar,thematic,121.7395,104.0,41.55
2025-09-02,TAN,Solar,thematic,117.3493,100.1867,40.98
2025-09-03,TAN,Solar,thematic,118.848,100.6581,41.57
2025-09-04,TAN,Solar,thematic,118.1822,102.7747,42.02
2025-09-05,TAN,Solar,thematic,123.8214,108.9936,44.04
2025-09-08,TAN,Solar,thematic,121.2569,108.5861,43.33
2025-09-09,TAN,Solar,thematic,116.5376,107.1147,41.97
2025-09-10,TAN,Solar,thematic,115.4183,107.6999,41.91
2025-09-11,TAN,Solar,thematic,114.876,112.989,41.86
2025-09-12,TAN,Solar,thematic,111.6775,112.6989,41.78
2025-09-15,TAN,Solar,thematic,113.1657,115.6647,42.35
2025-09-16,TAN,Solar,thematic,124.6398,113.9844,42.67
2025-09-17,TAN,Solar,thematic,123.7417,105.4531,42.86
2025-09-18,TAN,Solar,thematic,124.6846,109.5018,42.81
2025-09-19,TAN,Solar,thematic,127.0247,112.1699,43.17
2025-09-22,TAN,Solar,thematic,125.0386,105.798,43.89
2025-09-23,TAN,Solar,thematic,119.4767,98.7701,42.37
2025-09-24,TAN,Solar,thematic,120.4282,98.1134,43.35
2025-09-25,TAN,Solar,thematic,123.4965,100.4138,43.71
2025-09-26,TAN,Solar,thematic,121.617,101.8531,43.42
2025-09-29,TAN,Solar,thematic,120.3206,100.8535,43.82
2025-09-30,TAN,Solar,thematic,113.9364,93.5904,43.63
2025-10-01,TAN,Solar,thematic,112.8739,96.1862,45.08
2025-10-02,TAN,Solar,thematic,114.9675,96.7349,46.18
2025-10-03,TAN,Solar,thematic,115.7656,97.9552,45.98
2025-10-06,TAN,Solar,thematic,115.2908,93.1105,46.24
2025-10-07,TAN,Solar,thematic,114.0547,94.0604,45.68
2025-10-08,TAN,Solar,thematic,116.4419,99.9178,46.14
2025-10-09,TAN,Solar,thematic,120.4682,104.3753,47.54
2025-10-10,TAN,Solar,thematic,114.8564,99.9829,44.95
2025-10-13,TAN,Solar,thematic,119.0728,106.6221,46.32
2025-10-14,TAN,Solar,thematic,120.2039,106.2194,46.89
2025-10-15,TAN,Solar,thematic,125.0677,100.3433,48.93
2025-10-16,TAN,Solar,thematic,122.3267,98.8565,48.03
2025-10-17,TAN,Solar,thematic,114.246,91.628,46.56
2025-10-20,TAN,Solar,thematic,118.2224,93.0704,47.24
2025-10-21,TAN,Solar,thematic,116.6546,93.2949,46.81
2025-10-22,TAN,Solar,thematic,115.6798,96.822,45.95
2025-10-23,TAN,Solar,thematic,117.1863,97.3081,46.53
2025-10-24,TAN,Solar,thematic,121.5699,98.4399,48.1
2025-10-27,TAN,Solar,thematic,125.0714,102.8404,48.91
2025-10-28,TAN,Solar,thematic,126.3862,105.0412,48.45
2025-10-29,TAN,Solar,thematic,127.9482,112.2979,48.6
2025-10-30,TAN,Solar,thematic,126.9428,112.4642,47.73
2025-10-31,TAN,Solar,thematic,130.813,113.7826,49.12
2025-11-03,TAN,Solar,thematic,132.3091,114.2905,49.14
2025-11-04,TAN,Solar,thematic,128.3731,111.3472,47.93
2025-11-05,TAN,Solar,thematic,135.7879,119.0551,51.28
2025-11-06,TAN,Solar,thematic,134.1599,115.2162,50.24
2025-11-07,TAN,Solar,thematic,134.1108,111.3247,50.39
2025-11-10,TAN,Solar,thematic,140.4672,122.2981,52.86
2025-11-11,TAN,Solar,thematic,138.4419,116.2666,51.85
2025-11-12,TAN,Solar,thematic,123.5118,102.7519,50.57
2025-11-13,TAN,Solar,thematic,114.4221,91.4881,48.48
2025-11-14,TAN,Solar,thematic,119.8156,97.9472,49.51
2025-11-17,TAN,Solar,thematic,119.3744,104.4889,48.76
2025-11-18,TAN,Solar,thematic,121.7552,102.9883,48.22
2025-11-19,TAN,Solar,thematic,116.2914,99.6887,47.62
2025-11-20,TAN,Solar,thematic,112.6097,97.3461,45.66
2025-11-21,TAN,Solar,thematic,110.8212,94.5684,45.94
2025-11-24,TAN,Solar,thematic,114.3408,94.0535,46.46
2025-11-25,TAN,Solar,thematic,112.8121,90.1981,47.08
2025-11-26,TAN,Solar,thematic,113.6504,89.9231,47.9
2025-11-28,TAN,Solar,thematic,116.1037,90.7428,48.91
2025-12-01,TAN,Solar,thematic,112.0777,88.2899,47.64
2025-12-02,TAN,Solar,thematic,111.7787,85.4493,47.63
2025-12-03,TAN,Solar,thematic,105.4116,79.6707,47.38
2025-12-04,TAN,Solar,thematic,108.5108,84.5277,48.04
2025-12-05,TAN,Solar,thematic,110.6084,81.4567,47.69
2025-12-08,TAN,Solar,thematic,111.088,82.8027,47.59
2025-12-09,TAN,Solar,thematic,112.8155,84.1211,47.47
2025-12-10,TAN,Solar,thematic,113.7149,80.9548,48.78
2025-12-11,TAN,Solar,thematic,112.1389,81.0007,49.24
2025-12-12,TAN,Solar,thematic,108.5829,87.913,47.84
2025-12-15,TAN,Solar,thematic,107.4609,93.9162,47.57
2025-12-16,TAN,Solar,thematic,109.5594,91.44,47.79
2025-12-17,TAN,Solar,thematic,107.5219,90.0711,47.25
2025-12-18,TAN,Solar,thematic,107.9962,88.6994,48.33
2025-12-19,TAN,Solar,thematic,113.1245,97.2768,48.99
2025-12-22,TAN,Solar,thematic,114.8843,102.0199,51.4
2025-12-23,TAN,Solar,thematic,111.0599,100.2154,50.4
2025-12-24,TAN,Solar,thematic,113.5283,99.2894,50.86
2025-12-26,TAN,Solar,thematic,112.7721,99.9645,50.83
2025-12-29,TAN,Solar,thematic,112.1838,98.7095,50.13
2025-12-30,TAN,Solar,thematic,107.6916,92.7547,49.53
2025-12-31,TAN,Solar,thematic,105.4031,94.0447,49.12
2026-01-02,TAN,Solar,thematic,110.8451,99.1648,51.6
2026-01-05,TAN,Solar,thematic,108.1584,102.6058,51.12
2026-01-06,TAN,Solar,thematic,108.5247,100.0128,51.51
2026-01-07,TAN,Solar,thematic,106.8146,96.57,50.47
2026-01-08,TAN,Solar,thematic,101.796,91.6354,50.4
2026-01-09,TAN,Solar,thematic,104.4194,92.5577,50.3
2026-01-12,TAN,Solar,thematic,105.9625,93.1826,52.14
2026-01-13,TAN,Solar,thematic,105.6436,94.2078,52.19
2026-01-14,TAN,Solar,thematic,99.6293,91.7541,51.49
2026-01-15,TAN,Solar,thematic,101.0238,94.0098,51.97
2026-01-16,TAN,Solar,thematic,104.8292,95.6825,51.88
2026-01-20,TAN,Solar,thematic,105.1376,97.7825,51.49
2026-01-21,TAN,Solar,thematic,106.3619,98.4867,52.25
2026-01-22,TAN,Solar,thematic,111.3376,98.4204,54.02
2026-01-23,TAN,Solar,thematic,113.4512,98.7526,55.23
2026-01-26,TAN,Solar,thematic,109.5492,98.6398,55.11
2026-01-27,TAN,Solar,thematic,110.2507,97.113,56.06
2026-01-28,TAN,Solar,thematic,113.2819,100.452,57.36
2026-01-29,TAN,Solar,thematic,108.3927,96.6206,55.75
2026-01-30,TAN,Solar,thematic,106.3843,98.7861,53.85
2026-02-02,TAN,Solar,thematic,102.7629,97.4952,53.69
2026-02-03,TAN,Solar,thematic,106.379,95.9709,55.59
2026-02-04,TAN,Solar,thematic,112.2571,103.7896,58.1
2026-02-05,TAN,Solar,thematic,102.303,94.267,55.83
2026-02-06,TAN,Solar,thematic,105.2704,98.5543,57.74
2026-02-09,TAN,Solar,thematic,107.5699,105.6721,58.72
2026-02-10,TAN,Solar,thematic,102.5408,98.201,58.59
2026-02-11,TAN,Solar,thematic,104.58,98.6953,58.38
2026-02-12,TAN,Solar,thematic,106.075,100.4083,56.86
2026-02-13,TAN,Solar,thematic,110.2939,110.7043,57.92
2026-02-17,TAN,Solar,thematic,111.418,110.2888,59.87
