date,ticker,name,group,rs_ratio,rs_momentum,close
2026-03-31,JETS,Airlines,thematic,92.3742,87.6651,24.63
2026-04-01,JETS,Airlines,thematic,93.4354,88.79,25.27
2026-04-02,JETS,Airlines,thematic,91.5466,89.307,24.93
2026-04-06,JETS,Airlines,thematic,89.6616,92.403,24.99
2026-04-07,JETS,Airlines,thematic,89.0041,92.3412,24.79
2026-04-08,JETS,Airlines,thematic,91.7774,96.1304,26.19
2026-04-09,JETS,Airlines,thematic,91.0571,97.092,26.11
2026-04-10,JETS,Airlines,thematic,89.4967,96.0572,25.89
2026-04-13,JETS,Airlines,thematic,89.161,99.475,25.81
2026-04-14,JETS,Airlines,thematic,93.3585,104.8378,26.95
2026-04-15,JETS,Airlines,thematic,93.5831,105.1109,27.02
2026-04-16,JETS,Airlines,thematic,90.1925,100.5458,26.63
2026-04-17,JETS,Airlines,thematic,93.4828,105.9368,27.92
2026-04-20,JETS,Airlines,thematic,92.8846,104.1195,27.55
2026-04-21,JETS,Airlines,thematic,89.7042,101.6393,26.75
2026-04-22,JETS,Airlines,thematic,86.5748,95.5884,25.88
2026-04-23,JETS,Airlines,thematic,87.3742,97.4723,25.72
2026-04-24,JETS,Airlines,thematic,88.8378,95.6272,26.0
2026-04-27,JETS,Airlines,thematic,88.8724,95.0219,25.53
2026-04-28,JETS,Airlines,thematic,88.9664,96.4786,25.28
2026-04-29,JETS,Airlines,thematic,85.3246,93.271,24.93
2026-04-30,JETS,Airlines,thematic,87.3319,94.5414,25.42
2026-05-01,JETS,Airlines,thematic,85.6899,91.7103,25.76
2026-05-04,JETS,Airlines,thematic,82.948,90.6074,25.42
2026-05-05,JETS,Airlines,thematic,82.6555,92.1861,26.06
2026-05-06,JETS,Airlines,thematic,85.1203,95.6364,27.24
2026-05-07,JETS,Airlines,thematic,83.358,90.8263,27.59
2026-05-08,JETS,Airlines,thematic,83.1967,91.3677,27.48
2026-05-11,JETS,Airlines,thematic,80.4533,89.8953,26.61
2026-05-12,JETS,Airlines,thematic,82.2165,92.2113,26.27
2026-05-13,JETS,Airlines,thematic,81.5412,87.342,26.13
2026-05-14,JETS,Airlines,thematic,81.1553,86.7201,26.22
2026-05-15,JETS,Airlines,thematic,78.0516,86.5389,25.56
2026-05-18,JETS,Airlines,thematic,78.1327,83.5797,25.55
2026-05-19,JETS,Airlines,thematic,79.3184,85.3946,24.81
2025-01-13,KRE,Regional Banks,sector,94.2815,100.0,57.3346
2025-01-14,KRE,Regional Banks,sector,97.3498,100.0,59.282
2025-01-15,KRE,Regional Banks,sector,98.0169,100.0,60.7739
2025-01-16,KRE,Regional Banks,sector,97.2821,100.0,60.2023
2025-01-17,KRE,Regional Banks,sector,97.7565,100.0,61.1033
2025-01-21,KRE,Regional Banks,sector,98.0679,100.0,61.859
2025-01-22,KRE,Regional Banks,sector,96.3589,100.0,61.1227
2025-01-23,KRE,Regional Banks,sector,95.4864,100.0,60.8999
2025-01-24,KRE,Regional Banks,sector,96.482,100.0,61.3552
2025-01-27,KRE,Regional Banks,sector,98.9018,100.0,62.0043
2025-01-28,KRE,Regional Banks,sector,97.5689,100.0,61.6943
2025-01-29,KRE,Regional Banks,sector,97.9005,100.0,61.6265
2025-01-30,KRE,Regional Banks,sector,98.4648,100.0,62.3143
2025-01-31,KRE,Regional Banks,sector,98.7454,100.0,62.1593
2025-02-03,KRE,Regional Banks,sector,97.3536,100.0,60.8708
2025-02-04,KRE,Regional Banks,sector,98.5826,100.0,62.0528
2025-02-05,KRE,Regional Banks,sector,99.2576,100.0,62.7309
2025-02-06,KRE,Regional Banks,sector,100.0595,100.0,63.4576
2025-02-07,KRE,Regional Banks,sector,99.6426,100.0,62.6147
2025-02-10,KRE,Regional Banks,sector,97.822,100.0,61.8881
2025-02-11,KRE,Regional Banks,sector,99.3543,100.0,62.9053
2025-02-12,KRE,Regional Banks,sector,97.342,103.2461,61.4327
2025-02-13,KRE,Regional Banks,sector,96.7504,99.3843,61.704
2025-02-14,KRE,Regional Banks,sector,97.059,99.0228,61.8978
2025-02-18,KRE,Regional Banks,sector,97.6383,100.3662,62.45
2025-02-19,KRE,Regional Banks,sector,97.0462,99.2733,62.2175
2025-02-20,KRE,Regional Banks,sector,95.6914,97.5767,61.0936
2025-02-21,KRE,Regional Banks,sector,94.8246,98.4077,59.5048
2025-02-24,KRE,Regional Banks,sector,94.5602,99.03,59.0688
2025-02-25,KRE,Regional Banks,sector,95.0951,98.5625,59.1076
2025-02-26,KRE,Regional Banks,sector,95.2964,96.3546,59.2626
2025-02-27,KRE,Regional Banks,sector,96.9847,99.4012,59.3498
2025-02-28,KRE,Regional Banks,sector,96.7571,98.832,60.1345
2025-03-03,KRE,Regional Banks,sector,97.0704,98.5839,59.2723
2025-03-04,KRE,Regional Banks,sector,94.7971,96.0015,57.199
2025-03-05,KRE,Regional Banks,sector,93.2648,95.8001,56.8793
2025-03-06,KRE,Regional Banks,sector,93.4139,94.7569,55.9589
2025-03-07,KRE,Regional Banks,sector,92.7807,93.4746,55.8911
2025-03-10,KRE,Regional Banks,sector,91.5524,91.4979,53.6822
2025-03-11,KRE,Regional Banks,sector,91.82,92.1494,53.3915
2025-03-12,KRE,Regional Banks,sector,92.396,94.4532,54.0116
2025-03-13,KRE,Regional Banks,sector,92.6029,93.2047,53.4109
2025-03-14,KRE,Regional Banks,sector,93.4113,95.962,54.9901
2025-03-17,KRE,Regional Banks,sector,93.9623,97.1182,55.3485
2025-03-18,KRE,Regional Banks,sector,95.055,97.9353,55.1935
2025-03-19,KRE,Regional Banks,sector,95.1393,97.4406,55.8814
2025-03-20,KRE,Regional Banks,sector,96.6515,99.5933,55.5036
2025-03-21,KRE,Regional Banks,sector,98.8217,103.2713,55.4745
2025-03-24,KRE,Regional Banks,sector,100.5791,106.0686,56.9842
2025-03-25,KRE,Regional Banks,sector,99.4324,105.1525,56.8086
2025-03-26,KRE,Regional Banks,sector,100.4832,105.666,56.5746
2025-03-27,KRE,Regional Banks,sector,100.3343,105.2866,56.126
2025-03-28,KRE,Regional Banks,sector,99.9001,103.0061,55.0142
2025-03-31,KRE,Regional Banks,sector,100.1969,103.5551,55.4433
2025-04-01,KRE,Regional Banks,sector,98.2708,101.2366,55.0239
2025-04-02,KRE,Regional Banks,sector,98.7916,104.2137,55.8041
2025-04-03,KRE,Regional Banks,sector,93.9944,100.7822,50.0404
2025-04-04,KRE,Regional Banks,sector,95.6544,102.3985,48.0411
2025-04-07,KRE,Regional Banks,sector,96.1902,103.6748,48.0508
2025-04-08,KRE,Regional Banks,sector,96.6217,105.5371,47.6022
2025-04-09,KRE,Regional Banks,sector,94.4513,102.8657,51.3277
2025-04-10,KRE,Regional Banks,sector,94.089,101.8323,48.1776
2025-04-11,KRE,Regional Banks,sector,90.9634,98.2295,48.0411
2025-04-14,KRE,Regional Banks,sector,88.7732,95.0347,48.8798
2025-04-15,KRE,Regional Banks,sector,89.9161,95.6939,49.7088
2025-04-16,KRE,Regional Banks,sector,92.6366,97.4557,49.699
2025-04-17,KRE,Regional Banks,sector,92.8866,97.6322,50.1476
2025-04-21,KRE,Regional Banks,sector,93.5951,96.8377,49.4845
2025-04-22,KRE,Regional Banks,sector,95.822,96.9645,51.0741
2025-04-23,KRE,Regional Banks,sector,97.3676,96.807,52.2249
2025-04-24,KRE,Regional Banks,sector,95.9624,96.5102,53.1027
2025-04-25,KRE,Regional Banks,sector,92.0896,91.6467,52.615
2025-04-28,KRE,Regional Banks,sector,93.8655,93.5527,52.9271
2025-04-29,KRE,Regional Banks,sector,93.8013,93.8951,53.405
2025-04-30,KRE,Regional Banks,sector,92.1542,91.9731,52.7906
2025-05-01,KRE,Regional Banks,sector,92.2571,93.8805,53.3757
2025-05-02,KRE,Regional Banks,sector,94.7513,95.9103,54.8484
2025-05-05,KRE,Regional Banks,sector,93.775,99.7666,54.6533
2025-05-06,KRE,Regional Banks,sector,92.9503,97.173,54.0877
2025-05-07,KRE,Regional Banks,sector,91.902,95.542,54.1364
2025-05-08,KRE,Regional Banks,sector,93.8603,97.142,55.4433
2025-05-09,KRE,Regional Banks,sector,95.2745,100.8716,55.18
2025-05-12,KRE,Regional Banks,sector,94.977,100.9438,57.7156
2025-05-13,KRE,Regional Banks,sector,96.76,106.3725,57.9887
2025-05-14,KRE,Regional Banks,sector,96.7859,109.0261,57.7254
2025-05-15,KRE,Regional Banks,sector,96.1066,106.8847,57.7839
2025-05-16,KRE,Regional Banks,sector,94.9191,102.4639,57.7742
2025-05-19,KRE,Regional Banks,sector,95.0073,102.2831,57.5401
2025-05-20,KRE,Regional Banks,sector,96.2351,102.8206,57.2768
2025-05-21,KRE,Regional Banks,sector,95.2809,99.4353,55.2482
2025-05-22,KRE,Regional Banks,sector,95.5097,98.0919,55.2482
2025-05-23,KRE,Regional Banks,sector,95.2031,99.2087,55.0044
2025-05-27,KRE,Regional Banks,sector,95.2782,103.4625,56.3113
2025-05-28,KRE,Regional Banks,sector,92.6314,98.6852,55.3945
2025-05-29,KRE,Regional Banks,sector,93.2821,99.4465,55.8724
2025-05-30,KRE,Regional Banks,sector,92.419,100.2873,55.4725
2025-06-02,KRE,Regional Banks,sector,93.4103,101.25,55.0629
2025-06-03,KRE,Regional Banks,sector,95.8947,101.2067,55.9309
2025-06-04,KRE,Regional Banks,sector,94.5818,100.8604,55.2385
2025-06-05,KRE,Regional Banks,sector,95.6222,102.8745,55.1995
2025-06-06,KRE,Regional Banks,sector,98.3266,106.9907,56.5843
2025-06-09,KRE,Regional Banks,sector,98.4413,104.8807,56.8672
2025-06-10,KRE,Regional Banks,sector,98.3104,103.1864,57.4718
2025-06-11,KRE,Regional Banks,sector,97.0359,102.1678,56.6916
2025-06-12,KRE,Regional Banks,sector,95.2383,98.4273,56.3503
2025-06-13,KRE,Regional Banks,sector,93.8425,96.9588,54.8386
2025-06-16,KRE,Regional Banks,sector,92.638,96.3909,55.0922
2025-06-17,KRE,Regional Banks,sector,92.1353,97.0672,54.4095
2025-06-18,KRE,Regional Banks,sector,93.7352,98.661,55.1312
2025-06-20,KRE,Regional Banks,sector,94.7514,98.4583,55.5506
2025-06-23,KRE,Regional Banks,sector,95.113,99.8238,56.8281
2025-06-24,KRE,Regional Banks,sector,95.4902,99.9796,57.3682
2025-06-25,KRE,Regional Banks,sector,94.2337,98.9818,57.0933
2025-06-26,KRE,Regional Banks,sector,96.1657,100.9315,58.4092
2025-06-27,KRE,Regional Banks,sector,95.6099,103.2154,58.3797
2025-06-30,KRE,Regional Banks,sector,94.9564,101.7949,58.3208
2025-07-01,KRE,Regional Banks,sector,99.2621,107.4045,60.3142
2025-07-02,KRE,Regional Banks,sector,99.7892,106.8289,61.3846
2025-07-03,KRE,Regional Banks,sector,106.1808,110.7264,62.0916
2025-07-07,KRE,Regional Banks,sector,103.8281,109.776,61.4533
2025-07-08,KRE,Regional Banks,sector,104.6233,109.4132,62.0131
2025-07-09,KRE,Regional Banks,sector,103.2864,105.0442,61.9836
2025-07-10,KRE,Regional Banks,sector,106.3042,107.9874,62.4255
2025-07-11,KRE,Regional Banks,sector,107.5117,109.3595,61.7578
2025-07-14,KRE,Regional Banks,sector,110.7686,114.1522,62.455
2025-07-15,KRE,Regional Banks,sector,106.5251,111.8511,60.2651
2025-07-16,KRE,Regional Banks,sector,105.0232,111.9144,60.7954
2025-07-17,KRE,Regional Banks,sector,104.1618,112.4397,62.0327
2025-07-18,KRE,Regional Banks,sector,103.6168,112.4616,62.1309
2025-07-21,KRE,Regional Banks,sector,101.9886,108.805,61.9345
2025-07-22,KRE,Regional Banks,sector,101.8368,107.4779,62.2193
2025-07-23,KRE,Regional Banks,sector,100.2828,105.4355,62.2193
2025-07-24,KRE,Regional Banks,sector,98.7931,103.4588,61.0606
2025-07-25,KRE,Regional Banks,sector,99.6046,105.6995,60.815
2025-07-28,KRE,Regional Banks,sector,98.9999,102.9472,60.7659
2025-07-29,KRE,Regional Banks,sector,98.5133,103.0367,60.4714
2025-07-30,KRE,Regional Banks,sector,98.5445,103.7787,59.6956
2025-07-31,KRE,Regional Banks,sector,97.3413,98.0649,58.9787
2025-08-01,KRE,Regional Banks,sector,95.718,95.9202,57.761
