ticker,name,sector,industry,market_cap,cap_band,benchmark
URGN,UROGEN PHARMA LTD,Health Care,,916200512,small,SPY
FOXF,FOX FACTORY HOLDING CORP,Consumer Discretionary,,703209600,small,SPY
SENEA,SENECA FOODS CORP CLASS A,Consumer Staples,,1107298432,small,SPY
SCHL,SCHOLASTIC CORP,Communication,,997314368,small,SPY
HRTG,HERITAGE INSURANCE HOLDINGS INC,Financials,,809570496,small,SPY
NWPX,NWPX INFRASTRUCTURE INC,Industrials,,765697024,small,SPY
EGBN,EAGLE BANCORP INC,Financials,,776288768,small,SPY
KURA,KURA ONCOLOGY INC,Health Care,,760519232,small,SPY
CXM,SPRINKLR INC CLASS A,Information Technology,,1508118016,small,SPY
CNXN,PC CONNECTION INC,Information Technology,,1502883072,small,SPY
FWRG,FIRST WATCH RESTAURANT GROUP INC,Consumer Discretionary,,657846464,small,SPY
TRNS,TRANSCAT INC,Industrials,,711112704,small,SPY
QNST,QUINSTREET INC,Communication,,689626688,small,SPY
EQBK,EQUITY BANCSHARES INC CLASS A,Financials,,946075008,small,SPY
EHAB,ENHABIT INC,Health Care,,710125440,small,SPY
LIND,LINDBLAD EXPEDITIONS HOLDINGS INC,Consumer Discretionary,,1113198848,small,SPY
SDGR,SCHRODINGER INC,Health Care,,854894720,small,SPY
MRTN,MARTEN TRANSPORT LTD,Industrials,,1123482496,small,SPY
ADAM,ADAMAS INC TRUST,Financials,,668605376,small,SPY
MCHB,MECHANICS BANCORP CLASS A,Financials,,3305330688,mid,SPY
AVBP,ARRIVENT BIOPHARMA INC,Health Care,,1100178432,small,SPY
PLPC,PREFORMED LINE PRODUCTS,Industrials,,1482670080,small,SPY
PFBC,PREFERRED BANK,Financials,,1110694272,small,SPY
BKV,BKV CORP,Energy,,3022298880,mid,SPY
RHLD,RESOLUTE HOLDINGS MANAGEMENT INC,Industrials,,1312507136,small,SPY
LQDT,LIQUIDITY SERVICES INC,Industrials,,966392512,small,SPY
AMPL,AMPLITUDE INC CLASS A,Information Technology,,914690560,small,SPY
PHR,PHREESIA INC,Health Care,,507766176,small,SPY
ABUS,ARBUTUS BIOPHARMA CORP,Health Care,,875741760,small,SPY
MITK,MITEK SYSTEMS INC,Information Technology,,629896384,small,SPY
JBIO,JADE BIOSCIENCES INC,Health Care,,763909312,small,SPY
DRVN,DRIVEN BRANDS HOLDINGS INC,Consumer Discretionary,,2029365120,mid,SPY
MMI,MARCUS & MILLICHAP INC,Real Estate,,1005566464,small,SPY
