ticker,name,sector,benchmark,type,market_cap,cap_band
BTR.AX,Brightstar Resources Limited,Gold,GDX,Miners & Producers,395170944.0,small
MM8.AX,Medallion Metals Limited,Gold,GDX,Miners & Producers,302186688.0,small
TOK.AX,Tolu Minerals Limited,Gold,GDX,Miners & Producers,414578464.0,small
TRE.AX,Toubani Resources Inc,Gold,GDX,Miners & Producers,316695488.0,small
WWI.AX,West Wits Mining Limited,Gold,GDX,Miners & Producers,282520224.0,small
TBR.AX,Tribune Resources Ltd,Gold,GDX,Miners & Producers,298543360.0,small
TM1.AX,Terra Metals Limited,Gold,GDX,Miners & Producers,262371040.0,small
TTM.AX,Titan Minerals Limited,Gold,GDX,Miners & Producers,240052336.0,small
TOR.AX,Torque Metals Limited,Gold,GDX,Miners & Producers,251789088.0,small
GG8.AX,Gorilla Gold Mines Ltd,Gold,GDX,Miners & Producers,249102048.0,small
HRN.AX,Horizon Gold Limited,Gold,GDX,Miners & Producers,245929872.0,small
TGM.AX,Theta Gold Mines Limited,Gold,GDX,Miners & Producers,242920896.0,small
ERM.AX,Emmerson Resources Limited,Gold,GDX,Miners & Producers,239712832.0,small
HRZ.AX,Horizon Minerals Limited,Gold,GDX,Miners & Producers,242454080.0,small
POL.AX,Polymetals Resources Ltd,Gold,GDX,Miners & Producers,233696128.0,small
AQI.AX,Alicanto Minerals Limited,Gold,GDX,Miners & Producers,238792448.0,small
STN.AX,Saturn Metals Limited,Gold,GDX,Miners & Producers,243332320.0,small
BGD.AX,Barton Gold Holdings Limited,Gold,GDX,Miners & Producers,211312400.0,small
AS1.AX,Asara Resources Limited,Gold,GDX,Miners & Producers,200397232.0,small
BM1.AX,Ballard Mining Limited,Gold,GDX,Miners & Producers,315951008.0,small
AUE.AX,Aurum Resources Limited,Gold,GDX,Miners & Producers,203096320.0,small
VTM.AX,Victory Metals Limited,Gold,GDX,Miners & Producers,,small
KAU.AX,Kaiser Reef Limited,Gold,GDX,Miners & Producers,163437040.0,small
GPR.AX,Geopacific Resources Limited,Gold,GDX,Miners & Producers,125026024.0,small
GML.AX,Gateway Mining Limited,Gold,GDX,Miners & Producers,144014528.0,small
TSO.AX,Tesoro Gold Limited,Gold,GDX,Miners & Producers,170948384.0,small
CY5.AX,Cygnus Metals Limited,Gold,GDX,Miners & Producers,164823296.0,small
GBM.AX,GBM Resources Limited,Gold,GDX,Miners & Producers,142343584.0,small
TAM.AX,Tanami Gold NL,Gold,GDX,Miners & Producers,109284032.0,small
FXG.AX,Felix Gold Limited,Gold,GDX,Miners & Producers,137784096.0,small
GBR.AX,Great Boulder Resources Limited,Gold,GDX,Miners & Producers,102227552.0,small
FAL.AX,Falcon Metals Limited,Gold,GDX,Miners & Producers,119678552.0,small
GHM.AX,Golden Horse Minerals Limited,Gold,GDX,Miners & Producers,93334304.0,small
ORE.AX,Orezone Gold Corporation,Gold,GDX,Miners & Producers,1490161920.0,mid
EM3.AX,EMC Gold Corporation,Gold,GDX,Miners & Producers,81227352.0,small
MAT.AX,Matsa Resources Limited,Gold,GDX,Miners & Producers,84488544.0,small
YRL.AX,Yandal Resources Limited,Gold,GDX,Miners & Producers,76301784.0,small
LRM.AX,Lion Rock Minerals Ltd,Gold,GDX,Miners & Producers,85534008.0,small
MDX.AX,Mindax Limited,Gold,GDX,Miners & Producers,73259768.0,small
RTG.AX,RTG Mining Inc.,Gold,GDX,Miners & Producers,72644808.0,small
BCM.AX,Brazilian Critical Minerals Limited,Gold,GDX,Miners & Producers,58598600.0,small
AWJ.AX,Auric Mining Limited,Gold,GDX,Miners & Producers,63611824.0,small
PGO.AX,Pacgold Limited,Gold,GDX,Miners & Producers,49784916.0,small
