rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
936,SKT,TANGER INC,Real Estate,mid,36.67,7.79,12.97,-5.18,-2.08,,STRONG_UP,-1.56,-0.85,-0.71,-1.35,41.18,LOW,0.6578,-,1,10.495,period_1,2026-03-30,19
937,OPCH,OPTION CARE HEALTH INC,Health Care,mid,28.4,5.19,12.97,-7.78,-2.02,,STRONG_UP,-5.33,-0.85,-4.48,-3.63,40.86,LOW,0.8844,PROGRESS,0,10.49,period_1,2026-03-30,19
938,GH,GUARDANT HEALTH INC,Health Care,large,88.91,3.14,12.97,-9.83,-3.11,,STRONG_UP,-16.23,-0.85,-15.38,-5.24,32.68,LOW,0.612,-,1,10.486,period_1,2026-03-30,19
939,TRST,TRUSTCO BANK CORP,Financials,small,46.15,7.0,12.97,-5.97,-1.72,,STRONG_UP,-3.88,-0.85,-3.03,-1.56,39.86,LOW,0.5981,-,1,10.479,period_1,2026-03-30,19
940,TRNO,TERRENO REALTY REIT CORP,Real Estate,mid,65.28,7.7,12.97,-5.27,-3.49,,STRONG_UP,-2.76,-0.85,-1.91,-2.76,40.0,LOW,0.9852,-,1,10.465,period_1,2026-03-30,19
941,KRG,KITE REALTY GROUP TRUST REIT,Real Estate,mid,25.97,7.46,12.97,-5.51,-2.63,,STRONG_UP,-4.15,-0.85,-3.3,-2.81,38.82,MED,1.2128,-,1,10.432,period_1,2026-03-30,19
942,TMP,TOMPKINS FINANCIAL CORP,Financials,small,82.33,6.98,12.97,-5.99,-4.16,,STRONG_UP,-3.91,-0.85,-3.06,-3.91,39.5,MED,1.2522,-,1,10.372,period_1,2026-03-30,19
943,FOXF,FOX FACTORY HOLDING CORP,Consumer Discretionary,small,17.7,7.08,12.97,-5.89,-0.05,,STRONG_UP,-8.51,-0.85,-7.66,0.0,34.72,LOW,0.5517,-,0,10.358,period_1,2026-03-30,19
944,PCRX,PACIRA BIOSCIENCES INC,Health Care,small,24.51,5.33,12.97,-7.64,-2.3,,STRONG_UP,-4.3,-0.85,-3.45,-3.35,41.25,LOW,0.7256,-,1,10.354,period_1,2026-03-30,19
945,IOSP,INNOSPEC INC,Materials,small,77.15,5.41,12.97,-7.56,1.48,,STRONG_UP,-2.49,-0.85,-1.64,0.0,42.65,LOW,0.6494,-,0,10.263,period_1,2026-03-30,19
