rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
65,0,ORP.AX,Orpheus Uranium Limited,Gold,small,0.059,72.55,0.0357,0.0406,0.2877,STRONG_DOWN,59.46%,126.92%,-30.59%,-37.84%,37.67%,81.07%,0.4973,LOW,-,0.0591,0.063,0.0465,1,58.9761,CONTENDER,19.0788
66,0,BEZ.AX,Besra Gold Inc,Gold,small,0.11,83.01,0.0106,0.0767,0.8,STRONG_DOWN,66.67%,175.00%,0.00%,-58.33%,42.40%,228.70%,0.5867,LOW,-,0.1157,0.0976,0.0632,1,32.4443,LEADER,18.8452
67,0,OBM.AX,Ora Banda Mining Ltd,Gold,mid,1.12,27.45,-0.034,-0.0534,-0.1761,STRONG_UP,-10.76%,18.52%,267.21%,-50.00%,50.80%,96.13%,1.0275,MED,EARLY,1.2422,1.2808,1.1368,0,9.7861,WEAK,18.5883
68,0,SNG.AX,Siren Gold Limited,Gold,small,0.08,58.17,-0.0629,0.0021,-0.074,FLAT,-27.27%,77.78%,37.93%,-47.14%,41.60%,69.45%,0.0265,LOW,-,0.086,0.0956,0.0882,0,46.5883,LAGGARD,18.5726
69,0,TOK.AX,Tolu Minerals Limited,Gold,small,1.56,61.44,0.0654,0.3418,0.2632,FLAT,7.22%,81.40%,160.00%,-33.13%,43.60%,61.89%,0.1109,LOW,-,1.4313,1.3831,1.202,1,57.341,CONTENDER,18.5261
70,0,BM1.AX,Ballard Mining Limited,Gold,small,0.66,58.82,0.0106,-0.0791,0.0505,FLAT,-4.35%,78.38%,78.38%,-43.65%,44.57%,90.60%,1.1744,MED,-,0.6982,0.7968,,0,38.5577,LAGGARD,18.3772
71,0,MAT.AX,Matsa Resources Limited,Gold,small,0.092,56.86,0.0453,0.0362,-0.2172,STRONG_UP,-12.38%,76.92%,148.65%,-52.90%,41.20%,99.80%,0.2215,LOW,-,0.0894,0.1103,0.1034,0,31.7558,LAGGARD,17.8092
72,0,MM8.AX,Medallion Metals Limited,Gold,small,0.395,60.13,0.0452,0.0577,0.0711,STRONG_DOWN,-28.83%,79.55%,526.98%,-44.07%,44.40%,89.03%,1.0193,MED,-,0.4008,0.4333,0.3993,0,39.67,LAGGARD,17.7128
73,0,BGL.AX,Bellevue Gold Limited,Gold,mid,1.53,39.22,0.0329,0.0574,-0.0143,FLAT,26.97%,33.62%,-18.83%,-36.93%,50.40%,67.59%,1.1565,MED,-,1.5192,1.6853,1.2957,1,25.0728,LAGGARD,17.5165
74,0,MOH.AX,Moho Resources Limited,Gold,small,0.009,84.31,0.088,0.285,0.2327,FLAT,0.00%,200.00%,50.00%,-57.14%,17.20%,174.42%,0.02,LOW,-,0.0074,0.0083,0.0071,1,19.7225,LEADER,17.1276
