rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
36,1,PRU.AX,Perseus Mining Limited,Gold,large,5.61,55.92,-0.0069,0.0998,0.0758,FLAT,12.49,59.49,158.28,-28.47,51.2,50.82,0.5946,LOW,-,5.2505,5.4782,4.879,1,59.9355,CONTENDER,23.1691
37,1,BCM.AX,Brazilian Critical Minerals Limited,Gold,small,0.027,90.13,-0.0123,-0.1941,0.0695,FLAT,-34.15,200.0,8.0,-50.0,34.4,119.43,0.1689,LOW,-,0.0277,0.0318,0.0264,1,57.607,LEADER,22.9212
38,1,BGD.AX,Barton Gold Holdings Limited,Gold,small,0.99,73.68,0.0244,0.0589,-0.1547,FLAT,-21.74,106.25,266.67,-48.23,48.4,76.83,0.3945,LOW,-,0.914,1.0177,1.0568,0,66.9335,LAGGARD,22.8738
39,1,GML.AX,Gateway Mining Limited,Gold,small,0.066,76.97,-0.0694,-0.0454,0.0219,STRONG_DOWN,-26.67,120.0,266.67,-44.76,37.2,64.91,0.7041,LOW,-,0.0642,0.07,0.0641,1,68.7721,LEADER,22.588
40,1,AS1.AX,Asara Resources Limited,Gold,small,0.15,90.79,0.1416,0.0882,0.6053,FLAT,82.93,212.5,1400.0,-32.26,38.0,111.7,0.2631,LOW,-,0.124,0.1296,0.0903,1,72.2919,LEADER,22.4606
41,1,BGL.AX,Bellevue Gold Limited,Gold,mid,1.705,67.11,-0.0296,0.0791,0.1577,STRONG_DOWN,26.3,86.34,-13.23,-36.93,51.2,76.72,0.4837,LOW,-,1.5727,1.6702,1.3342,1,57.6192,CONTENDER,21.8722
42,1,GMN.AX,Gold Mountain Limited,Gold,small,0.125,57.89,0.2378,0.1037,1.0283,FLAT,60.26,66.67,-37.5,-70.0,32.0,140.82,6.3607,HIGH,-,0.1057,0.1146,0.0851,1,15.1494,CONTENDER,21.2018
43,1,GMD.AX,Genesis Minerals Limited,Gold,large,6.58,49.34,0.0001,0.0832,0.0066,FLAT,-6.27,48.53,260.55,-36.46,52.4,72.56,0.8064,LOW,-,6.099,6.6338,6.0042,1,35.0484,LAGGARD,20.9687
44,3,TSO.AX,Tesoro Gold Limited,Gold,small,1.005,75.0,-0.0123,0.0802,-0.082,FLAT,-8.22,109.38,131.04,-41.05,44.0,85.42,0.926,LOW,-,0.9485,0.9946,0.9068,1,56.3395,LEADER,20.5699
45,0,RRL.AX,Regis Resources Limited,Gold,mid,7.55,54.61,0.0349,0.0877,0.0987,STRONG_DOWN,19.58,58.46,242.06,-39.58,54.8,67.12,0.761,LOW,-,6.8245,7.698,6.3982,1,47.7315,CONTENDER,20.5149
