rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
142,PNR.AX,Pantoro Gold Limited,Gold,mid,3.27,-35.63,-5.44,-30.19,-9.34,-20.18,STRONG_UP,-47.54,-30.84,-16.7,-44.48,6.58,MED,1.2997,EARLY,0,-5.092,current,2025-12-25,63
143,NXM.AX,Nexus Minerals Limited,Gold,small,0.048,-33.33,-5.44,-27.89,-16.85,-13.65,FLAT,-39.24,-30.84,-8.4,-39.24,10.53,LOW,0.0,-,0,-5.477,current,2025-12-25,63
144,MDX.AX,Mindax Limited,Gold,small,0.031,-31.11,-5.44,-25.67,-4.13,1.83,FLAT,-33.33,-30.84,-2.49,-31.11,13.16,LOW,0.0,-,0,-5.573,current,2025-12-25,63
145,ION.AX,Iondrive Limited,Gold,small,0.02,-50.62,-5.44,-45.18,-4.13,-15.15,STRONG_UP,-71.93,-30.84,-41.09,-64.91,0.0,HIGH,1.6175,-,0,-5.745,current,2025-12-25,63
146,POL.AX,Polymetals Resources Ltd,Gold,small,0.76,-43.07,-5.44,-37.63,5.23,-3.87,STRONG_UP,-58.18,-30.84,-27.34,-52.2,1.32,HIGH,1.8571,-,0,-6.454,current,2025-12-25,63
147,GG8.AX,Gorilla Gold Mines Ltd,Gold,small,0.34,-36.45,-5.44,-31.01,-5.57,-6.07,STRONG_UP,-44.55,-30.84,-13.71,-38.18,5.92,LOW,0.7605,-,0,-6.515,current,2025-12-25,63
148,KNB.AX,Koonenberry Gold Limited,Gold,small,0.025,-41.86,-5.44,-36.42,0.04,8.55,FLAT,-52.17,-30.84,-21.33,-45.65,2.63,LOW,0.4243,-,0,-7.38,current,2025-12-25,63
149,NPM.AX,New Peak Metals Limited,Gold,small,0.014,-41.67,-5.44,-36.23,-26.35,-14.02,FLAT,-50.0,-30.84,-19.16,-50.0,3.95,HIGH,6.0668,-,0,-7.559,current,2025-12-25,63
150,MEK.AX,Meeka Metals Limited,Gold,small,0.16,-41.82,-5.44,-36.38,-4.13,-8.09,STRONG_UP,-50.82,-30.84,-19.98,-47.54,3.29,HIGH,1.5638,-,0,-7.571,current,2025-12-25,63
151,GHM.AX,Golden Horse Minerals Limited,Gold,small,0.47,-40.32,-5.44,-34.88,0.32,-10.51,STRONG_UP,-47.47,-30.84,-16.63,-40.51,4.61,MED,1.2088,-,0,-7.58,current,2025-12-25,63
152,ICL.AX,Iceni Gold Limited,Gold,small,0.04,-42.86,-5.44,-37.42,-6.56,0.78,FLAT,-52.0,-30.84,-21.16,-46.67,1.97,LOW,0.5581,-,0,-8.029,current,2025-12-25,63
153,PGD.AX,Peregrine Gold Limited,Gold,small,0.13,-50.0,-5.44,-44.56,-17.46,-23.49,STRONG_UP,-60.66,-30.84,-29.82,-57.38,0.66,LOW,0.0468,-,0,-8.68,current,2025-12-25,63
